chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
House,94,1975,0.5802074829931974,0.35600907029478457,0.2857142857142857,0.4965986394557823,0.3356009070294785,-0.12188662131519275,0.03621995464852608,-0.3152891156462585,0.14188095238095239,0.2649183673469388,-0.17510204081632652,0.2517478991596639,-0.23451260504201682,0.32089285714285715,0.07739285714285714,-0.3730966183574879,-0.06053623188405797,-0.17774712643678162,0.6234942528735632
House,95,1977,0.5729455782312924,0.36507936507936506,0.3129251700680272,0.46938775510204084,0.3356009070294785,-0.11490929705215419,0.019639455782312926,-0.305891156462585,0.11876190476190476,0.2670544217687075,-0.17860544217687074,0.2572521008403361,-0.2435378151260504,0.3087142857142857,0.09735714285714285,-0.3611256038647343,-0.07119323671497585,-0.1744712643678161,0.5707241379310345
House,96,1979,0.5960052607148383,0.34615384615384615,0.31316725978647686,0.40372670807453415,0.3665158371040724,-0.08421266968325793,0.004708144796380089,-0.30130960854092526,0.10972953736654804,0.294695652173913,-0.17859006211180126,0.283984496124031,-0.23813953488372094,0.337875,0.061468749999999996,-0.3568040201005025,-0.07033165829145728,-0.16663414634146342,0.5467073170731708
House,97,1981,0.6068163471866479,0.34234234234234234,0.3319838056680162,0.35714285714285715,0.44469525959367945,-0.032961711711711715,-0.03652927927927928,-0.3003724696356275,0.09234412955465587,0.3064438775510204,-0.19883163265306122,0.2924038461538461,-0.25393589743589745,0.3612,0.016075,-0.3647109826589595,-0.1063757225433526,-0.14995945945945946,0.5569189189189189
House,98,1983,0.6273528971468827,0.31662870159453305,0.3235294117647059,0.30538922155688625,0.3826879271070615,-0.06312072892938497,-0.03479043280182233,-0.3017720588235294,0.07081985294117647,0.32558083832335327,-0.20680239520958082,0.314412213740458,-0.26148854961832063,0.3662222222222222,-0.007805555555555556,-0.36628342245989304,-0.12615508021390373,-0.15984705882352943,0.504164705882353
House,99,1985,0.643211420874845,0.3052391799544419,0.31906614785992216,0.2857142857142857,0.05694760820045558,-0.04285193621867882,-0.04013895216400911,-0.3095136186770428,0.08189105058365759,0.3336978021978022,-0.21245604395604395,0.31707971014492753,-0.27810144927536234,0.38581818181818184,-0.006568181818181817,-0.36248603351955305,-0.1080782122905028,-0.18794871794871795,0.5178461538461538
House,100,1987,0.6446669794021067,0.3129251700680272,0.3282442748091603,0.2905027932960894,0.061224489795918366,-0.0476530612244898,-0.044496598639455785,-0.3093206106870229,0.08443893129770992,0.3353463687150838,-0.23321787709497208,0.3139124087591241,-0.29556204379562045,0.40526190476190477,-0.029857142857142856,-0.3596978021978022,-0.09423626373626373,-0.1947125,0.490925
House,101,1989,0.6526952830188679,0.31910112359550563,0.33584905660377357,0.29444444444444445,0.024719101123595506,-0.04903370786516854,-0.052391011235955055,-0.3130452830188679,0.08059245283018868,0.33965,-0.2481722222222222,0.3221029411764706,-0.3134338235294118,0.39388636363636365,-0.04645454545454545,-0.3598315217391304,-0.10034239130434783,-0.20676543209876544,0.49160493827160495
House,102,1991,0.6589745098039215,0.31519274376417233,0.337037037037037,0.2823529411764706,0.020454545454545454,-0.06068934240362812,-0.04031292517006803,-0.3142333333333333,0.07991481481481481,0.3447411764705882,-0.22930588235294116,0.32300787401574804,-0.29278740157480315,0.40893023255813954,-0.041813953488372094,-0.35905235602094243,-0.08335602094240838,-0.205873417721519,0.47465822784810124
House,103,1993,0.7043710727969349,0.27601809954751133,0.3103448275862069,0.22777777777777777,0.011337868480725623,-0.04688914027149321,-0.03409502262443439,-0.33329885057471265,0.06936781609195403,0.37107222222222225,-0.18223333333333333,0.35113178294573644,-0.26410077519379843,0.4215098039215686,0.024843137254901962,-0.367524861878453,-0.0754585635359116,-0.2558625,0.3970375
